id,name,position,school,nationality,height,weight,wingspan,age,tier,ranking,stats,analysis,strengths,weaknesses,image,displayinfo,created_at,displayInfo,draftClass,eligibilityStatus,verified,region,team,trending,ranking_espn,ranking_247,scouting_grade_espn,ppg,apg,rpg,fg_pct,three_pct,ft_pct,bpg,spg,high_school_team,comparison,scope,source,last_verified_at,api_basketball_id,games_played,total_points,total_field_goal_attempts,two_pt_makes,two_pt_attempts,three_pt_makes,three_pt_attempts,ft_makes,ft_attempts,total_rebounds,total_assists,minutes_played,turnovers,total_blocks,total_steals,ts_percent,efg_percent,orb_percent,drb_percent,trb_percent,ast_percent,tov_percent,stl_percent,blk_percent,usg_percent,total_s_percent,ppr,pp_s,ortg,drtg,win_shares,vorp,bpm,athleticism,strength,speed,shooting,ball_handling,defense,basketball_iq,leadership,improvement,competition_level,coachability,work_ethic,draft_class,per,games_started,motor,badges
kayden-mingo-2025,Kayden Mingo,SF,IMG Academy (FL),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":190,""intl"":86}",,,,25,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,,,,,,,,0.391,,0.8,2.3,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
king-grace-2025,King Grace,PF,Wasatch Academy (UT),🇺🇸,N/A,N/A,,,,43,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Wasatch Academy (UT),stable,,,,,,,,0.312,,2.2,1.3,Wasatch Academy (UT),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kingston-flemings-rivals-2025,Kingston Flemings,SF,Link Academy (MO),🇺🇸,N/A,N/A,,,,74,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.356,,1.1,1.9,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kiyan-anthony-247sports-2025,Kiyan Anthony,SG,Long Island Lutheran (NY),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":180,""intl"":82}",,,,17,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Long Island Lutheran (NY),stable,,,,,,,,0.381,,0.7,2.1,Long Island Lutheran (NY),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
koa-peat-espn-2025,Koa Peat,PF,Perry High School (AZ),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":215,""intl"":98}",,,,5,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Perry High School (AZ),stable,,,,,,,,0.289,,3.2,1.1,Perry High School (AZ),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kohl-rosario-2025,Kohl Rosario,PG,Montverde Academy (FL),🇺🇸,"{""us"":""6'3"",""intl"":191}","{""us"":175,""intl"":79}",,,,39,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,,,,,,,,0.398,,0.4,2.3,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
labaron-philon,Labaron Philon,PG,Link Academy (MO),🇺🇸,"{""us"":""6'4"",""intl"":193}","{""us"":180,""intl"":82}",,,,6,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.412,,0.3,2.7,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
london-jemison-2025,London Jemison,PG,Oak Hill Academy (VA),🇺🇸,"{""us"":""6'3"",""intl"":191}","{""us"":175,""intl"":79}",,,,27,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Oak Hill Academy (VA),stable,,,,,,,,0.402,,0.5,2.4,Oak Hill Academy (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
malachi-moreno-espn-2025,Malachi Moreno,C,Overtime Elite,🇺🇸,"{""us"":""7'0"",""intl"":213}","{""us"":225,""intl"":102}",,,,13,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.267,,2.8,1.1,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
meleek-thomas-espn-2025,Meleek Thomas,PG,Overtime Elite,🇺🇸,N/A,N/A,,,,9,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.389,,0.5,2.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
michael-phillips-ii-2025,Michael Phillips II,SG,Oak Hill Academy (VA),🇺🇸,N/A,N/A,,,,62,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Oak Hill Academy (VA),stable,,,,,,,,0.398,,0.5,2.3,Oak Hill Academy (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
mikel-brown-espn-2025,Mikel Brown Jr.,PG,DME Academy (NC),🇺🇸,N/A,N/A,,,,67,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,DME Academy (NC),stable,,,,,,,,0.378,,0.3,2.1,DME Academy (NC),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
mouhamed-sylla-espn-2025,Mouhamed Sylla,C,Overtime Elite,🇸🇳,"{""us"":""6'11"",""intl"":211}","{""us"":230,""intl"":104}",,,,21,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.245,,3.7,1,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
nate-ament-espn-2025,Nate Ament,SF,Highland School (VA),🇺🇸,N/A,N/A,,,,71,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Highland School (VA),stable,,,,,,,,0.356,,1.6,2.3,Highland School (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
nick-randall-2025,Nick Randall,SG,Montverde Academy (FL),🇺🇸,N/A,N/A,,,,48,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,,,,,,,,0.435,,0.5,1.8,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
nigel-james-2025,Nigel James,SF,Brewster Academy (NH),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":195,""intl"":88}",,,,37,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.378,,0.9,2,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
nigel-walls-2025,Nigel Walls,PF,Oak Hill Academy (VA),🇺🇸,N/A,N/A,,,,40,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Oak Hill Academy (VA),stable,,,,,,,,0.345,,1.3,1.7,Oak Hill Academy (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
patton-pinkins-2025,Patton Pinkins,PG,Paul VI (VA),🇺🇸,N/A,N/A,,,,64,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Paul VI (VA),stable,,,,,,,,0.385,,0.3,2.4,Paul VI (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
reynan-santos-brasil-2026,Reynan Santos,SG,Mexico City Capitanes,🇧🇷,"6'4""",187 lb (85kg),"6'6.5""",21,Potencial 2ª Rodada,79,"{""advanced"":{""PER"":15.57,""PPR"":-4.33,""TS%"":0.503,""AST%"":16.88,""BLK%"":0.34,""DRB%"":17.12,""DRtg"":104.9,""ORB%"":5.15,""ORtg"":100.2,""PP S"":1.14,""STL%"":1.38,""TOV%"":14.84,""TRB%"":11.08,""USG%"":30.38,""eFG%"":0.462,""Total S %"":143.09}}",,"[""Defensor de elite no perímetro, tanto no um-contra-um quanto fora da bola."",""Motor e nível de energia altos durante todo o jogo."",""Fisicamente forte e atlético, com bom poder de finalização ao redor do aro."",""Ótimo em pressionar a defesa e atacar a cesta em transição."",""Experiência em competições de alto nível (NBB, OTE, FIBA).""]","[""Consistência do arremesso de longa distância."",""Mecânica do arremesso pode ser um problema (ponto de lançamento baixo)."",""Necessita de maior refinamento no jogo ofensivo de meia-quadra.""]",,,2025-07-26 19:58:00.598164+00,{},2026,Elegível,true,BRAZIL,Mexico City Capitanes,stable,,,,14.6,2.1,4.8,,0.367,,1.6,1.4,Overtime Elite,,NBB,Scouting_Reports_And_Stats_Compilation,2025-08-03 18:07:46.203678+00,,40,583,1394,135,296,68,217,109,151,192,85,1050.2,101,3,26,0.503,0.462,5.15,17.12,11.08,16.88,14.84,1.38,0.34,30.38,143.09,-4.33,1.14,100.2,104.9,,,,7,7,7,5,6,8,7,7,7,7,6,7,2026,15.57,,8,[]
ryder-frost-2025,Ryder Frost,PG,Paul VI (VA),🇺🇸,N/A,N/A,,,,49,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Paul VI (VA),stable,,,,,,,,0.398,,0.4,2.3,Paul VI (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
salim-london-2025,Salim London,PG,Prolific Prep (CA),🇺🇸,N/A,N/A,,,,59,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Prolific Prep (CA),stable,,,,,,,,0.389,,0.4,2.5,Prolific Prep (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
samis-calderon-latinbasket,Samis Calderon,"PF
",Universidade do Kansas,🇧🇷,,,"7'3""",20,,83,,,"[""Atletismo de elite"",""Comprimento excepcional (7'3\"" de envergadura)"",""Físico forte e definido"",""Versatilidade defensiva (defende múltiplas posições)"",""Capacidade de pontuar em quadra aberta"",""Facilidade de salto"",""Cobre a quadra eficazmente""]","[""Consistência no arremesso"",""Manuseio de bola avançado"",""Criação ofensiva em meia quadra""]",,,2025-08-02 23:36:48.306441+00,,2026,Elegível,true,BRAZIL,Universidade do Kansas,,,84,82,10.6,2.7,5.7,0.654,0.311,0.756,1.5,0.7,Overtime Elite,,NBA_DRAFT,LatinBasket_Scraping,2025-08-03 18:12:42.516067+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,8,4,4,8,6,5,7,8,6,7,,18.8,,7,[]
sebastian-wilkins-duke-2025,Sebastian Wilkins,PF,Montverde Academy (FL),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,19,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,,,,,,,,0.321,,1.8,1.6,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
sebastian-williams-adams-2025,Sebastian Williams-Adams,SF,Brewster Academy (NH),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":195,""intl"":88}",,,,28,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.367,,1.1,2,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
shelton-henderson-rivals-2025,Shelton Henderson,SF,Montverde Academy (FL),🇺🇸,N/A,N/A,,,,73,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Montverde Academy (FL),stable,,,,,,,,0.345,,1.4,1.6,Montverde Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
tee-barlett-2025,Tee Barlett,SF,IMG Academy (FL),🇺🇸,N/A,N/A,,,,58,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,,,,,,,,0.367,,0.9,1.8,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
tounde-yessoufou-espn-2025,Tounde Yessoufou,SF,Saint Joseph High School (CA),🇺🇸,N/A,N/A,,,,68,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Saint Joseph High School (CA),stable,,,,,,,,0.334,,1.2,1.8,Saint Joseph High School (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
tre-johnson-espn-2025,Tre Johnson,SG,Link Academy (MO),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":195,""intl"":88}",,,,14,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.418,,0.3,1.9,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
trent-sisley-2025,Trent Sisley,SG,Heritage Christian (IN),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":185,""intl"":84}",,,,33,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Heritage Christian (IN),stable,,,,,,,,0.421,,0.7,2.3,Heritage Christian (IN),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
trey-mckenney-espn-2025,Trey McKenney,SF,St. Mary's Preparatory (MI),🇺🇸,N/A,N/A,,,,76,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,St. Mary's Preparatory (MI),stable,,,,,,,,0.312,,1.8,1.9,St. Mary's Preparatory (MI),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
winicius-silva-braga-lnb,Winicius Silva Braga,C,KTO Minas,🇧🇷,"{""us"":""6'9"",""intl"":206}","{""us"":198,""intl"":90}",7'2'',20,,80,,,,,,,2025-08-02 18:06:29.05419+00,,2026,,,BRAZIL,KTO Minas,,,,,7.4,0.8,5.5,0.518,0.405,0.7,0.3,2.4,KTO Minas,,NBA_DRAFT,LNB_Scraping,2025-08-02 19:01:19.18+00,,40,346,245,112,208,15,37,77,110,257,36,715.1,61,37,30,0.59,0.549,17,24.7,21,8.9,17.2,2.3,6,22.9,162.4,-5.1,1.4,113.6,90.6,,,,,,,,,,,,,,,,,23,,,[]
winters-grady-rivals-2025,Winters Grady,SF,Prolific Prep (CA),🇺🇸,N/A,N/A,,,,77,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Prolific Prep (CA),stable,,,,,,,,0.334,,1.2,2.3,Prolific Prep (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
xzavion-mitchell-2025,Xzavion Mitchell,SF,Link Academy (MO),🇺🇸,N/A,N/A,,,,54,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.378,,0.8,2,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
zymicah-wilkins-2025,Zymicah Wilkins,SG,Wasatch Academy (UT),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":185,""intl"":84}",,,,30,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Wasatch Academy (UT),stable,,,,,,,,0.415,,0.4,2.2,Wasatch Academy (UT),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
